Número	Animal/Objeto	Medida	L/A
4	un Elefante	metro	alta
5	el David de Miguel Angel	metro	alta
6	una Jirafa	metro	alta
7	el Aconcagua	kilómetro	alta
8	la cima Shisha Pangma	kilómetro	alta
9	una Orca	metro	larga
10	una Anaconda	metro	larga
11	el Abismo Challenger, el punto más profundo del océano	kilómetro	alta
12	un Camión	metro	larga
13	un Ratón Lemur	centímetro	larga
14	un bolígrafo	centímetro	larga
15	la Kaaba	metro	alta
16	un Caballito de Mar Pigmeo	milímetro	alta
17	el Monumento al Minero	metro	alta
18	un Calamar gigante	metro	larga
19	el Teatro Romano de Mérida	metro	alta
20	las Estátuas de Kim Il-Sung y Kim Jong-Il	metro	alta
21	la Casa Blanca	metro	alta
22	el Pentágono	metro	alta
23	el Monumento Pachacuteq	metro	alta
24	la escultura Water's Soul	metro	alta
25	un Huevo de avestruz	centímetro	larga
26	una Paulownia	metro	alta
27	Liechtenstein	kilómetro	larga
28	el Acueducto de Segovia	metro	larga
29	una Ballena Azul	metro	larga
30	un Abedul	metro	alta
31	un disco Vinilo	centímetro	larga
32	la Casa Batlló	metro	alta
33	la Catedral de Jaén	metro	alta
34	el Buda Tian Tan	metro	alta
35	un Tití Pigmeo	centímetro	larga
36	el Cristo Rey de ?wiebodzin	metro	alta
37	el Cristo del Pacífico	metro	alta
38	el Cristo Redentor	metro	alta
39	el Castillo de Odawara	metro	alta
40	los molinos de Kinderdijk	metro	alta
41	el Castillo-Palacio de Olite	metro	alta
42	la Catedral de San Cristóbal de La Laguna	metro	alta
43	el Panteón de Roma	metro	alta
44	el Gran Palacio del Kremlin	metro	alta
45	el Ángel de la Independencia	metro	alta
46	el Huevo de Colón	metro	alta
47	el Reichtag	metro	alta
48	el Coliseo	metro	alta
49	el Monumento del Renacimiento Africano	metro	alta
50	el Arco del Triunfo	metro	alta
51	el Micalet	metro	alta
52	el Monumento a los Descubrimientos	metro	alta
53	El Monumento a los Héroes de la Independencia.	metro	alta
54	la mezquita de Córdoba	metro	alta
55	Chandra Bahadur Dangi, el hombre más pequeño de la historia	centímetro	alta
56	la basílica de Santa Sofía	metro	alta
57	la Torre de Pisa	metro	alta
58	el Guandi de Jingzhou	metro	alta
59	el Alcazar de Toledo	metro	alta
60	el Monumento a Colón	metro	alta
61	un Puma	centímetro	larga
62	un Oso Panda	centímetro	alta
63	un Jaguar	centímetro	larga
64	la distacia Bilbao-Vitoria	kilómetro	larga
65	la Ópera de Sydney	metro	alta
66	el Alcázar de los Reyes Cristianos	metro	larga
